Song,Duration,Familiarity,Loudness,Tempo
Black Dog,,,,
Cooler than me,,,,
Rubberneckin',,,,
I am Woman,,,,
It's in The Book,,,,
Fly Like an Eagle,,,,
The Last Farewell,,,,
Falling in Love (Is Hard on the Knees),,,,
I Ain't Got Nobody,,,,
Fu-Gee-La,,,,
Lisbon Antigua (In Old Lisbon),,,,
Roll Over Beethoven,,,,
Perfect Day,,,,
Take Care,,,,
Town Without Pity,,,,
Stop & Stare,,,,
How Do You Talk To An Angel,,,,
OPP,,,,
Homeward Bound,,,,
We're an American Band,,,,
Sophisticated Lady,302.6,64.117,16.3,68.3
The 'A' Team,,,,
Precious & Few,,,,
Rikki Don't Lose That Number,,,,
Nice & Slow,,,,
Go Away Little Girl,,,,
Never My Love,251.3,53.366,10.9,79.7
My Little Lady,,,,
Hell Raiser,,,,
Poor Little Fool,,,,
Nothing Else Matters,,,,
Good Rockin' Tonight,,,,
The Promise Of A New Day,,,,
I'm Beginning to See The Light,,,,
After the Love Has Gone,,,,
Who Do You Think You Are?,,,,
The Animal Song,,,,
Church of the Poison Mind,,,,
Linger,,,,
Original Prankster,,,,
Lying Eyes,,,,
Truly,,,,
Your love is my drug,,,,
Disappear,,,,
Cat People (Putting Out Fire),,,,
Oh Girl,,,,
Bad Boy,,,,
Sea of Love,,,,
Candy Rain,,,,
Sioux City Sue,,,,
Moonglow & Theme From Picnic,,,,
Teen Angel,,,,
Get a Job,,,,
Bang & Blame,,,,
Here With Me,245.1,60.247,3.7,127.8
I Can See For Miles,,,,
Bring Me Edelweiss,,,,
You Are My Destiny,,,,
Change Partners,,,,
Could it Be I'm Falling in Love,,,,
Far Away Places,,,,
King of Pain,,,,
Let it Rock,,,,
If I Ruled the World,,,,
She's Not There,,,,
There's Always Room At Our House,,,,
I'm Henry the Eighth I Am,,,,
Daddy Don't You Walk So Fast,,,,
After You've Gone,,,,
Give a Little Bit,,,,
Lazy Sunday,,,,
Over There,,,,
Jeremy,,,,
Neutron Dance,,,,
World,,,,
Atomic,,,,
Everybody Everybody,,,,
Sharing The Night Together,,,,
If Tomorrow Never Comes,,,,
There's a Kind of Hush,,,,
Mashed Potato Time,,,,
Buona Sera,,,,
I'm Gonna Love You Just A Little Bit More,,,,
If I Give My Heart to You,,,,
Music & Lights,,,,
Mirror Man,,,,
I Wanna Love You Forever,,,,
Games People Play,175.4,38.629,12.0,84.9
In My Place,,,,
Rainy Night in Georgia,,,,
Best of You,,,,
Just a Gigolo,,,,
Heat Wave,,,,
Back Stabbers,,,,
For You I Will,,,,
Gypsy Woman,,,,
"1,2,3,4 (Sumpin' New)",,,,
Cum On Feel the Noize,,,,
The Wedding,147.8,29.143,14.9,99.9
Walkin' On the Sun,,,,
Letitgo,,,,
Don't Bother,,,,
Clumsy,,,,
Short Dick Man,,,,
Mendocino,,,,
Cosmic Girl,,,,
So Emotional,,,,
If You Leave,,,,
Are You That Somebody?,,,,
The Power of Good-Bye,,,,
Year of the Cat,,,,
Can't Get Enough of Your Love,,,,
Marie,,,,
We Gotta Get Out of This Place,,,,
One Less Bell To Answer,192.4,37.801,10.2,236.0
I Won't Forget You,,,,
Stereo Hearts,,,,
(There'll Be Bluebirds Over) the White Cliffs of Dover,,,,
Lucky Love,,,,
Lil' Red Riding Hood,,,,
Duelling Banjos,,,,
Everything,,,,
Sober,,,,
The Real Thing,,,,
Funky Cold Medina,,,,
Impulsive,,,,
Real Love,249.6,88.792,4.7,153.0
Beer Barrel Polka (Roll out the Barrel),,,,
Get Together,,,,
Happy Birthday Sweet Sixteen,,,,
It's Been Awhile,,,,
No No No,,,,
Kind of a Drag,,,,
See My Baby Jive,,,,
Follow You Down,,,,
Where Do Broken Hearts Go,,,,
Suspicion,,,,
The Wild One,,,,
Searchin',,,,
One Way Ticket,,,,
"Goodnight, My Love",,,,
Wonderful Life,,,,
Bad Boys,,,,
A Woman Needs Love (Just Like You Do),,,,
Yeke Yeke,,,,
Suddenly I See,,,,
I Have a Dream,,,,
I Don't Want To,,,,
Love Is Thicker Than Water,,,,
Chasing Pavements,,,,
Dust My Broom,,,,
Higher Ground,,,,
Blue Jean,,,,
Carrie-Anne,,,,
You're No Good,,,,
Moody River,,,,
In the Closet,,,,
Sign O' the Times,,,,
Lightnin' Strikes,,,,
Ghost Town,,,,
(When You Gonna) give It Up To Me,,,,
Miss Independent,,,,
Windy,,,,
Trick Me,,,,
River Deep Mountain High,,,,
Pictures of Matchstick Men,,,,
Let's Wait Awhile,,,,
Land of 1000 Dances,,,,
Blue Champagne,,,,
Young Hearts Run Free,,,,
When Will I Be Famous?,,,,
Time is On My Side,,,,
Around The World (La La La La La),,,,
Bump N' Grind,,,,
Piove (Ciao ciao bambina),,,,
Jean,,,,
Eres Tu (Touch The Wind),,,,
Rain & Tears,,,,
Every 1's a Winner,,,,
She'd Rather Be With Me,,,,
You Might Think,,,,
Tonight,259.9,67.965,6.1,92.0
Jealous Guy,,,,
Daughter of Darkness,,,,
Broken,,,,
My Home Town,,,,
When the Lights Go Out,,,,
How Do You Do It?,,,,
Piano Man,,,,
Rockstar,,,,
Dedicated to the One I Love,,,,
Poor Side Of Town,,,,
Theme from 'Romeo & Juliet',,,,
1/2/2003,,,,
"Swing Low, Sweet Chariot",,,,
Multiplication,,,,
A Woman's Worth,,,,
Keep On Moving,,,,
See See Rider Blues,,,,
Out of Touch,,,,
Change,188.2,39.682,10.3,127.5
Boogie On Reggae Woman,,,,
Mozart Symphony No 40 in G Minor,,,,
Lily the Pink,,,,
Case Of The Ex (Whatcha Gonna Do),,,,
Feel Good Time,,,,
Caught Up,,,,
Mary's Boy Child,184.9,54.544,13.8,120.0
Miss California,,,,
I Can Love You Like That,,,,
Sometimes When We Touch,,,,
Glory Days,,,,
You Gotta Love Someone,,,,
Then Came You,333.9,62.8,7.3,85.3
You're the Inspiration,,,,
You've Got Your Troubles,,,,
Merry Xmas Everybody,,,,
Arms of Mary,,,,
Hippy Hippy Shake,,,,
"Billy, Don't Be a Hero",,,,
Get Up (I Feel Like Being A) Sex Machine,,,,
Good Enough,331.4,92.096,12.5,91.4
Neither One of Us (Wants to be The First to Say Goodbye),,,,
Boogie Chillun,,,,
Pipeline,,,,
New San Antonio Rose,,,,
What's New Pussycat?,,,,
Pretender,,,,
"1, 2, 3, Red Light",,,,
Running Up That Hill,,,,
Just A Dream,,,,
So Alive,,,,
The Captain of Her Heart,,,,
Born to Be My Baby,,,,
Shake Your Body (Down to the Ground),,,,
Ain't No Doubt,,,,
2 Legit 2 Quit,,,,
Overload,,,,
Paper Roses,,,,
You're in Love,,,,
There U Go,,,,
Blame it On the Bossa Nova,,,,
At This Moment,,,,
Rump Shaker,,,,
The One that You Love,,,,
Youth of the Nation,,,,
Troglodyte (Cave Man),,,,
Don't Let Me Down,,,,
Raspberry Beret,,,,
Legend of Xanadu,,,,
What Would You Do?,174.9,64.532,6.6,191.5
We Love You,,,,
Baby I'm a Want You,,,,
Magic Moments,,,,
Metal Guru,,,,
Nasty Girl,,,,
Together,,,,
Can't Take My Eyes Off You,211.1,92.903,5.6,126.7
What it Feels Like For a Girl,,,,
It's Not Over,,,,
Praise The Lord & Pass the Ammunition,,,,
Disco Inferno,,,,
I'm Into Something Good,,,,
Private Dancer,212.2,61.787,6.8,153.1
Can't Stop Loving You,,,,
Take You There,,,,
"Say, Has Anybody Seen My Sweet Gypsy Rose?",,,,
Crystal Blue Persuasion,,,,
One Silver Dollar,,,,
You Give Love a Bad Name,,,,
Alright,,,,
If You're Not the One,,,,
Come Undone,,,,
Carrie,,,,
Tell Me Baby,176.4,49.623,14.4,94.6
All Day & All of the Night,,,,
Only You,175.1,58.824,11.8,137.5
Lean Back,,,,
Run to Me,,,,
Roam,,,,
Chain Gang,,,,
Something About You,,,,
"Hey, Brother",,,,
Are You Sure?,,,,
Chanson D'Amour,238.4,61.742,8.9,68.2
Immortality,,,,
Mundian to Bach Ke,,,,
Hard Rock Hallelujah,,,,
Ain't That Lovin' You Baby,,,,
Cry For Help,,,,
Things Can Only Get Better,,,,
"Hey Baby (Uuh, Aah)",,,,
Thank You (Falettinme be Mice Elf Again),,,,
Parade of the Wooden Soldiers,,,,
Just a Lil Bit,,,,
We've Got Tonight,,,,
Video games,,,,
The Show Must Go On,,,,
Army of Me,,,,
Not Gonna Get Us,,,,
Tears On My Pillow,,,,
Encore Une Fois,,,,
The Devil Went Down to Georgia,,,,
Love in an Elevator,,,,
Immigrant Song,,,,
Self Esteem,,,,
Fly,,,,
Green-eyed Lady,,,,
Happy Wanderer,,,,
Dancing Machine,,,,
God is a DJ,,,,
(Your Love Keeps Lifting Me) Higher & Higher,,,,
Johnny & Mary,,,,
Too Late For Goodbyes,,,,
Misty Blue,159.8,52.371,15.3,101.6
Going Under,205.5,70.784,16.6,94.5
Lay Down Your Arms,,,,
The Rubberband Man,,,,
Incense & Peppermints,,,,
Party All The Time,,,,
The End Of The Innocence,,,,
Dreamin',,,,
Three Little Pigs,,,,
If You Knew Susie (Like I Know Susie),,,,
Where's the Love,,,,
Hands to Heaven,,,,
Sorry Seems to Be the Hardest Word,,,,
Tender,,,,
You'll Never Walk Alone,,,,
7,,,,
When You Were Young,269.8,91.845,7.5,130.1
Papa's Got a Brand New Bag,,,,
Hands Up (Give Me Your Heart),,,,
"Cindy, Oh Cindy",,,,
Saturday in the Park,,,,
The Memory Remains,,,,
I Did What I Did For Maria,,,,
Stomp!,,,,
He's So Shy,,,,
Let 'Em In,,,,
Lovely to Look At,,,,
Bring it All Back,,,,
Make Believe,,,,
Don't Talk Just Kiss,,,,
All About That Bass,,,,
Rumble,,,,
(You Gotta) Fight For Your Right (To Party!),,,,
Foggy Mountain Breakdown,,,,
Nights On Broadway,,,,
Stray Cat Strut,,,,
It Must Be Him (Seul Sur Son Etoile),,,,
Tennessee,,,,
I Miss You,,,,
Something Got Me Started,,,,
Caravan of Love,,,,
Let Her Cry,,,,
The Sweetest Days,,,,
Lyla,,,,
You Haven't Done Nothin',,,,
Goody Goody,232.9,39.477,19.7,173.8
My Special Angel,,,,
For All We Know,304.7,50.677,16.7,207.0
Don't Wanna Fall in Love,,,,
Last Date,,,,
"Dark Was the Night, Cold Was the Ground",,,,
Who Wouldn't Love You?,,,,
Viva Las Vegas,,,,
Cold Rock a Party,,,,
Beetlebum,,,,
Mother-In-Law,,,,
Give it Up,,,,
All or Nothing at All,,,,
"Right Here, Right Now",,,,
Sweet Freedom,,,,
Legs,,,,
This is Not America,,,,
You Don't Own Me,,,,
Things That Make You Go Hmmm...,,,,
Bend It,,,,
This Is Why I'm Hot,,,,
"You Can't Be True, Dear",,,,
Tea For Two,,,,
"Abraham, Martin & John",,,,
Ain't No Mountain High Enough,,,,
The Aba Daba Honeymoon,137.1,45.895,12.6,95.5
Jesus Walks,,,,
Sounds Like a Melody,,,,
Brown Girl in the Ring,,,,
Winter Wonderland,215.8,24.85,18.9,100.0
Lullaby,205.2,47.718,18.3,60.1
Unwell,,,,
Tous les garcons & les filles,,,,
Sunday Morning,,,,
Live While We're Young,,,,
Until You Come Back to Me (That's What I'm Gonna Do),,,,
Abba-Esque,,,,
I'm in You,,,,
Mysterious Girl,,,,
Sleeping in My Car,,,,
Hey Boy Hey Girl,,,,
Busted,236.2,69.045,7.1,167.7
Rub You the Right Way,,,,
Waking up in Vegas,,,,
Give Me Just One Night,,,,
"Signed, Sealed, Delivered, I'm Yours",,,,
Turn to Stone,,,,
For The Love of Money,,,,
And the Angels Sing,,,,
Mr Bartender,,,,
It Will Rain,,,,
At Seventeen,,,,
I Was Made to Love Her,,,,
How Do U Want It,,,,
My Sacrifice,,,,
Let the Music Play,,,,
Everyday,269.4,46.796,7.6,154.3
Land of Confusion,,,,
This Time I Know It's For Real,,,,
The Other Woman,,,,
Take a Letter Maria,,,,
Ridin' solo,,,,
Zorba The Greek,,,,
Dance With Me,,,,
Off the Wall,,,,
As Tears Go By,,,,
Move Your Feet,,,,
Turning Japanese,,,,
If You Could Read My Mind,,,,
That's Not My Name,,,,
Whenever You Need Somebody,,,,
Every Little Step,,,,
Like Glue,,,,
Get Off,,,,
Praise You,,,,
Radio,,,,
Born to Make You Happy,,,,
South of the Border (Down Mexico Way),,,,
The First Time,,,,
Swingin' School,,,,
That Old Feeling,,,,
So Far Away,,,,
Longing For You,,,,
Oh,,,,
Norman,,,,
Keep Searchin' (We'll Follow the Sun),,,,
New Year's Day,,,,
Strawberry Letter 23,,,,
The Stripper,,,,
No More Lonely Nights,227.6,51.347,5.4,64.7
Starships,,,,
Jingle Jangle,,,,
Stars On 45 Vol 2,,,,
Ding-A-Dong,,,,
A Glass of Champagne,,,,
I Was Kaiser Bill's Batman,,,,
My Resistance is Low,,,,
Innuendo,,,,
Autumn Leaves (Les Feuilles Mortes),,,,
I Want to Wake Up With You,,,,
(Meet) the Flintstones,,,,
Mustapha,,,,
Love is in Control (Finger On the Trigger),,,,
Teardrops On My Guitar,,,,
Sixty Minute Man,,,,
If I Had No Loot,,,,
Positively Fourth Street,,,,
Shake Your Groove Thing,,,,
Back in My Arms Again,,,,
Want Ads,,,,
Vehicle,,,,
Emma,,,,
Anyone of Us (Stupid Mistake),,,,
That Girl,305.1,44.202,9.6,130.7
While You See a Chance,,,,
Mama Weer All Crazee Now,,,,
Chuck E's in Love,,,,
Lied eines jungen Wachtposten (Lili Marlen),,,,
Blue Moon of Kentucky,,,,
I Guess That's Why They Call it the Blues,,,,
Getting Over You,,,,
When Irish Eyes Are Smiling,,,,
Daddy's Home,,,,
Think,189.7,81.483,12.7,132.9
Beach Baby,,,,
Californication,,,,
Lay Lady Lay,,,,
Little L,,,,
The Bitch is Back,,,,
A Little Bit More,,,,
Romantic,,,,
Bohemian Rhapsody (1991),,,,
Do It Well,,,,
When The Lights Go On Again (All Over The World),,,,
In Your Eyes,,,,
Can the Circle be Unbroken (Bye & Bye),,,,
U Got the Look,,,,
That's What I Like,,,,
Mood Indigo,185.9,12.119,16.3,74.2
Private Investigations,,,,
Respect Yourself,,,,
Little Talks,,,,
Smack My Bitch Up,,,,
Pata Pata,273.3,59.42,6.1,137.9
Along the Navajo Trail,,,,
I'll Never Love This Way Again,,,,
Take Your Time (Do it Right),,,,
For Once in My Life,,,,
Johnny Will,,,,
Leave a Light On,,,,
Mairzy Doates,,,,
"Me, Myself & I",,,,
Denis,,,,
Open Arms,217.9,66.596,4.2,159.2
Through the Rain,,,,
Witch Queen of New Orleans,,,,
Don't Trust Me,,,,
I'll Never Break Your Heart,,,,
Rock-A-Bye Your Baby (With a Dixie Melody),,,,
Money Honey,,,,
Give Me Just a Little More Time,,,,
Tonight I'm Yours (Don't Hurt Me),,,,
Refugee,,,,
"Take Me Home, Country Roads",,,,
Lift Me Up,,,,
Moi... Lolita,,,,
Where Have You Been?,,,,
I'm Still in Love With You,,,,
Hooray Hooray It's a Holi-Holiday,,,,
Theme From 'Love Story',,,,
My Oh My,,,,
Homburg,,,,
Jar Of Hearts,,,,
Where the Wild Roses Grow,,,,
The Woodpecker Song,,,,
Showing Out (Get Fresh At the Weekend),,,,
Freak Like Me,,,,
Secret Lovers,,,,
I Gotcha,,,,
Come & Get Your Love,,,,
"Blah, Blah, Blah",,,,
Slow Jamz,,,,
It Might as Well Be Spring,,,,
Classical Gas,,,,
Oh Sherrie,,,,
They Say It's Wonderful,,,,
I Wanna Know,,,,
When My Baby Smiles At Me,,,,
Only One Woman,,,,
Bernadette,,,,
Irresistible,215.7,77.252,6.3,93.1
FURB (F U Right Back),,,,
Burning Up,,,,
Time in a Bottle,,,,
There There,,,,
"Have You Seen Your Mother, Baby",,,,
Drive By,,,,
You Shook Me All Night Long,,,,
Baby Don't Get Hooked On Me,,,,
Mr Lonely,,,,
Easier Said Than Done,,,,
One Time,,,,
And the Beat Goes On,,,,
Walking On the Moon,,,,
Chewy Chewy,,,,
Nuthin' But a 'G' Thang,,,,
Alphabet Street,,,,
Got to Be There,,,,
Don't Walk Away,,,,
Karma,256.0,93.392,6.2,113.5
Family Portrait,,,,
I'll Be Good to You,,,,
Somewhere My Love,,,,
Little Red Corvette,,,,
It's the Same Old Song,,,,
Modern Love,,,,
Chihuahua,,,,
Sunrise,,,,
Blow Me (One Last Kiss),,,,
Overkill,,,,
I Cry,,,,
Been Around the World,,,,
Satisfied,,,,
I Turn to You,,,,
Copacabana (At the Copa),,,,
Indian Reservation (The Lament Of The Cherokee Reservation Indian),,,,
Billionaire,,,,
Giving You The Best That I Got,,,,
I Believe in You,,,,
Hurricane,,,,
Just Like Heaven,,,,
I Saw the Light,,,,
Ain't We Got Fun?,,,,
Three Little Words,222.7,56.545,10.0,102.0
They Don't Know,,,,
Also Sprach Zarathustra (2001),,,,
Power to the People,,,,
In a Mist,,,,
You Don't Have to Say You Love Me,,,,
Lipstick On Your Collar,,,,
Gudbye T'Jane,,,,
I'll Never Fall in Love Again,,,,
Mockingbird,,,,
Titanium,,,,
The Pushbike Song,,,,
Not Ready To Make Nice,,,,
The Last Song,202.0,19.746,19.8,85.8
Jack & Jill,,,,
Fooled Around & Fell in Love,,,,
I Can't Give You Anything (But My Love),,,,
Lonely Teardrops,,,,
Wake Up,,,,
My Mammy,,,,
Why Can't This Be Love?,,,,
Hot Line,,,,
Woodstock,,,,
Paradise By the Dashboard Light,,,,
I'll Buy That Dream,,,,
Paralyzer,,,,
Antmusic,,,,
Junge komm bald wieder,,,,
"Tonight, Tonight",,,,
Matchbox Blues,,,,
Thank God I Found You,,,,
Sexy MF,,,,
Addictive,,,,
Tighten Up,,,,
Bad Blood,,,,
North to Alaska,,,,
Dress You Up,,,,
The Lover in Me,,,,
Funny Funny,,,,
Send Me an Angel,,,,
My Friend Stan,,,,
Is This Love?,,,,
Cry For You,,,,
Sunday Girl,,,,
Super Freak,,,,
Free Fallin',,,,
Lonely Night (Angel Face),,,,
Valerie,229.9,89.971,7.3,96.2
King Creole,,,,
Amanda,,,,
I'm a Man,,,,
If You Love Somebody Set Them Free,,,,
Lost Without Your Love,,,,
Hand in My Pocket,,,,
Lady D'Arbanville,,,,
Calendar Girl,,,,
Overprotected,,,,
Waiting For a Star to Fall,,,,
The Rockafeller Skank,,,,
Does Your Mother Know,,,,
Hit 'Em Up Style (Oops!),,,,
Reflections,508.9,63.944,23.6,109.9
Never Tear Us Apart,,,,
The Happening,,,,
Right Here (Human Nature),,,,
Dreamer,,,,
Love Rollercoaster,,,,
I Love You Love Me Love,,,,
Playground In My Mind,,,,
Two Of Hearts,,,,
Because the Night,,,,
Hello-A,,,,
Let's Make a Night to Remember,,,,
Chariot (I will follow him),,,,
I'll Be Your Baby Tonight,,,,
Montego Bay,,,,
Porque te vas,,,,
Life is a Rollercoaster,,,,
Crying in the Rain,,,,
The Sun Ain't Gonna Shine (Anymore),,,,
What Becomes of the Broken Hearted,,,,
Let's Go All the Way,,,,
A Must to Avoid,,,,
Shadow Of The Day,,,,
She's a Rainbow,,,,
Everybody's Free (To Feel Good),,,,
Shine,,,,
I'll Be Your Everything,,,,
Run,241.2,66.323,8.1,153.5
Free,312.0,52.652,7.5,140.1
Inch'Allah (se Sio vuole),,,,
Cinderella Rockefella,,,,
Tired of Being Alone,,,,
Three Little Fishies,,,,
Sittin' Up In My Room,,,,
I'll Be Around,151.7,46.99,9.6,109.4
Same Love,,,,
Miss Me Blind,,,,
The Motown Song,,,,
Harlem Shuffle,188.6,68.508,8.6,103.2
My Devotion,,,,
Making Love (Out of Nothing At All),,,,
Whatever Gets You Thru the Night,,,,
Tired of Waiting For You,,,,
I'd Die Without You,,,,
Insensitive,,,,
Rock This Town,,,,
I Don't Want to Be,,,,
Danger Zone,,,,
Say What You Want,,,,
Ringo,,,,
Everybody's Free (To Wear Sunscreen),,,,
The Scientist,,,,
Rockin' Robin,,,,
Prince Charming,,,,
Tell Me a Story,,,,
Stay With Me,217.4,59.65,6.6,149.9
So You Win Again,,,,
Could You Be Loved,,,,
Tuxedo Junction,,,,
Wouldn't it Be Good,,,,
Goldeneye,,,,
Anniversary Song,,,,
The Unicorn,,,,
Blue Eyes,,,,
My Father's Eyes,,,,
Otherside,,,,
Automatic,125.3,84.332,4.3,133.0
Kiss the Rain,,,,
Big Yellow Taxi,,,,
Fingertips,,,,
Autobahn,,,,
When The Rain Begins To Fall,,,,
Goodbye My Lover,,,,
"Eh, cumpari",,,,
Sweet Violets,,,,
Piu Bella Cosa,,,,
Roulette,,,,
"Relax, Take It Easy",,,,
Around the World,,,,
Sunny Came Home,250.7,68.55,12.8,109.2
Low Rider,,,,
Come a Little Bit Closer,,,,
Can't Get Used to Losing You,,,,
Raunchy,,,,
As I Lay Me Down,,,,
I'm Gonna Make You Love Me,,,,
F**kin' Perfect,,,,
Ain't No Stoppin' Us Now,,,,
Put Your Records On,,,,
Steppin' Out,,,,
Violet Hill,,,,
Story of My Life,,,,
Use Ta Be My Girl,,,,
Hold Your Head Up,,,,
San Fernando Valley,,,,
Sentimental Me,,,,
On The Good Ship Lollipop,,,,
What's On Your Mind (Pure Energy),,,,
School Day (Ring! Ring! Goes The Bell),,,,
Take That Look Off Your Face,,,,
C'Mon Ride the Train,,,,
Unbreakable,208.6,58.969,8.2,109.3
Sorrow,,,,
Please Don't Leave Me,,,,
DISCO,,,,
Ohio,,,,
Kiss Me Thru The Phone,,,,
Every Heartbeat,,,,
Ring Ring,,,,
A Lovely Way To Spend An Evening,,,,
Guantanamera,208.3,79.147,11.7,88.0
Boyfriend,169.2,47.001,12.1,161.0
Ruby Don't Take Your Love to Town,,,,
Outside of Heaven,,,,
Election Day,,,,
June in January,,,,
Lost in Love,,,,
Never Never Gonna Give Ya Up,,,,
Someday (You'll Want Me to Want You),,,,
Hey Lover,,,,
A Certain Smile,,,,
Save Your Love,,,,
"Baby, I Love You",,,,
Rollercoaster,,,,
Boys (Summertime Love),,,,
Underneath it All,,,,
Never On Sunday,,,,
Ramblin' Man,,,,
Move On Baby,,,,
"Please Help Me, I'm Falling",,,,
Can't Hold Us Down,,,,
Deeply Dippy,,,,
My Old Man's a Dustman (Ballad of a Refuse Disposal Officer),,,,
Turn Your Love Around,,,,
Got to Get,,,,
Everytime I Close My Eyes,,,,
Little Woman,183.1,36.28,14.7,101.7
Shake it Off,,,,
Honeycomb,,,,
The Call,236.3,85.142,2.8,104.0
Tusk,,,,
Power to All Our Friends,,,,
Hush,366.7,54.004,11.3,175.6
Tell it Like it Is,,,,
Brianstorm,,,,
Tell Me,249.2,73.797,6.3,84.8
Come to Me,,,,
Dinah,,,,
Breakeven,,,,
You're My World,174.8,60.668,3.2,86.6
Let's Live For Today,,,,
I'm the Leader of the Gang (I Am),,,,
Senza Una Donna (Without a Woman),,,,
Where My Girls At?,,,,
I've Got My Love to Keep Me Warm,,,,
Never Never Never,,,,
Block Rockin' Beats,,,,
Endless Summer Nights,,,,
Feels Like I'm in Love,,,,
Cruel Summer,,,,
Jump (For My Love),,,,
Bullet With Butterfly Wings,,,,
Cruisin',331.3,65.788,11.9,118.2
Steam,,,,
You to Me Are Everything,,,,
Yes Tonight Josephine,,,,
Small Town,,,,
Come Go With Me,,,,
Dream a Little Dream of Me,,,,
Diamonds & Pearls,,,,
Pony Blues,,,,
Freeway of Love,,,,
Homing Waltz,,,,
Heart Attack,,,,
Timber,,,,
Pepito,,,,
Young Wild Free,,,,
C'Mon Everybody,,,,
Just Another Night,,,,
No Other Love,,,,
Stormy Monday,,,,
Where Or When,,,,
9pm (Till I Come),,,,
Crack A Bottle,,,,
Misunderstanding,,,,
Ebeneezer Goode,,,,
Just Kickin' It,,,,
Mine,,,,
The Last Time I Saw Paris,,,,
Tears On My Pillow (I Can't Take It),,,,
Alexander's ragtime band,,,,
Try,172.9,58.052,8.0,101.4
Sensitivity,,,,
I'll Find My Way Home,,,,
Midnight Confessions,,,,
From This Moment On,,,,
Love Changes Everything,,,,
Can't Stop the Music,,,,
Hotel Room Service,,,,
Black Hole Sun,,,,
Baby Face,126.7,59.35,14.5,117.2
Singin' in the Rain,,,,
He's Got the Whole World in His Hands,,,,
Gimme Dat Ding,,,,
Nobody,,,,
No Particular Place to Go,,,,
I Want To Be Wanted (Per Tutta La Vita),,,,
Blue Orchid,160.3,87.881,9.4,152.8
There's Gotta Be More to Life,,,,
Policy of Truth,,,,
The Next Time I Fall,,,,
Live & Learn,,,,
Our Lips Are Sealed,,,,
Superstitious,,,,
I Still Believe,,,,
Dardanella,,,,
Dance Dance Dance (Yowsah Yowsah Yowsah),,,,
Powder Your Face With Sunshine,,,,
"Silent Night, Holy Night",,,,
Huggin' & Chalkin',,,,
Hats Off to Larry,,,,
Cold As Ice,,,,
Handy Man,,,,
Wildfire,,,,
Sunchyme,,,,
A Long December,,,,
That's Rock 'n' Roll,,,,
Shake the Disease,,,,
That's All Right,,,,
Head Over Heels,575.8,52.587,6.3,128.0
Into the Night,,,,
You Make Loving Fun,,,,
Walkin' the Dog,,,,
The Voice Within,,,,
Back On the Chain Gang,,,,
Sincerely,148.2,58.561,10.7,98.4
Sound of the Underground,,,,
Look At Me,,,,
Botch-a-me (Ba-ba-baciami piccina),,,,
No Letting Go,,,,
Mony Mony (Live),,,,
Never Again,368.9,68.681,7.6,132.0
Barbra Streisand,,,,
Give in to Me,,,,
I'll Build a Stairway to Paradise,,,,
Softly Softly,,,,
One Headlight,,,,
Tomorrow Tomorrow,,,,
More Than Ever (Come Prima),,,,
Nice To Be With You,,,,
Heroes,,,,
El Lute,,,,
I'm Gonna Be Alright,,,,
Satisfy You,,,,
Are You Happy Now,,,,
Under the Moon of Love,,,,
Pony,,,,
Save a Prayer,,,,
Young Americans,,,,
Summer Breeze,,,,
Keep on the Sunny Side,,,,
Wear My Ring Around Your Neck,,,,
Love is Here & Now You're Gone,,,,
Go Now,,,,
Imagination,389.6,38.329,11.0,130.0
Love Sneakin' Up On You,,,,
Kingston Town,,,,
Lifestyles of the Rich & Famous,,,,
It Don't Mean a Thing (If It Ain't Got That Swing),,,,
Gimme the Light,,,,
"Poupee De Cire, Poupee De Son",,,,
Talk Dirty,,,,
Enola Gay,,,,
If I Let You Go,,,,
Road to Nowhere,,,,
I Know (You Don't Love Me No More),,,,
Another Saturday Night,,,,
The Second Time Around,,,,
Let's Do It Again,,,,
What Do You Want From Me?,,,,
Buddy Holly,,,,
Love Me Or Leave Me,,,,
Weather With You,,,,
Kayleigh,,,,
That Lady,,,,
People Everyday,,,,
Sail On,,,,
Some Like it Hot,,,,
Tu t'en vas,,,,
If U Seek Amy,,,,
On Broadway,,,,
I Drove All Night,,,,
Stood Up,125.9,64.777,19.1,104.8
Little Children,,,,
Perdono,,,,
Little Bit O' Soul,,,,
Being Boring,,,,
Regret,,,,
Professional Widow (It's Got To Be Big),,,,
Take it to the Limit,,,,
Back in the Saddle Again,,,,
Guitar Man,,,,
18 & Life,,,,
Baby,198.3,37.801,16.0,135.9
I Like That,,,,
In The Rain,151.9,47.985,15.5,92.1
Sweet Thing,,,,
Graceland,,,,
You're The Greatest Lover,,,,
I'm Sitting On Top of the World,,,,
Lavender Blue,,,,
The Night The Lights Went Out In Georgia,,,,
(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,,,,
Him,,,,
The Thrill is Gone,,,,
Love Really Hurts Without You,,,,
Stop Crying Your Heart Out,,,,
I Feel the Earth Move,,,,
My Baby Loves Lovin',,,,
Am I the Same Girl,,,,
No Good (Start the Dance),,,,
Don't Be That Way,,,,
La Paloma,,,,
After All,,,,
I Almost Lost My Mind,,,,
Last Night a DJ Saved My Life,,,,
Long Haired Lover From Liverpool,,,,
Dry Your Eyes,,,,
Sweet Nothin's,,,,
"Lover Man (Oh, Where Can You Be?)",,,,
Jackie Blue,,,,
(I Left My Heart in) San Francisco,,,,
Good Life,,,,
Songbird,,,,
